breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,NDON EYO,,,"Water Scheme, Source within 100m",1347101875375.jpg,Yes,4.633837938308716 7.852531671524048 40.0 3.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347101875375.jpg,water,Akwa Ibom,akwa_ibom_onna,a80c4279-cf8f-42cf-96a2-f51a76364d93,NUNG NDEM 1,Tap,outlet,,a80c4279-cf8f-42cf-96a2-f51a76364d93,South-South
Poor Water Quality,,IKOT NKAN,,,Stand Alone Water Point,1347455685146.jpg,No,4.636407494544983 7.833359241485596 36.0 4.0,True,Onna,604,604,604.0,Hand Pump,No,1347455685146.jpg,water,Akwa Ibom,akwa_ibom_onna,7e075468-22d0-47fe-8a93-cb6616048bf8,NUNG NDEM 11,Borehole,water_source,borehole_tube_well,7e075468-22d0-47fe-8a93-cb6616048bf8,South-South
Mechanical Issue,,Ikot Mbong,,,"Water Scheme, Source within 1km",1347358758377.jpg,No,4.707416296005249 7.861924767494202 50.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347358758377.jpg,water,Akwa Ibom,akwa_ibom_onna,98a5f0bf-921b-4c2e-aa22-2776ac3da9c2,Awa IV,Tap,outlet,,98a5f0bf-921b-4c2e-aa22-2776ac3da9c2,South-South
Mechanical Issue,,Awa Ndon,,,Stand Alone Water Point,1347446431728.jpg,No,4.67293381690979 7.823456525802612 47.0 4.0,True,Onna,604,604,604.0,Hand Pump,No,1347446431728.jpg,water,Akwa Ibom,akwa_ibom_onna,8e86f435-ea72-4a4d-86f0-320fd935990e,Awa I,Borehole,water_source,borehole_tube_well,8e86f435-ea72-4a4d-86f0-320fd935990e,South-South
Mechanical Issue,,Ikot Mbong,,,"Water Scheme, Source within 1km",1347357959348.jpg,No,4.703226685523987 7.860245704650879 52.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347357959348.jpg,water,Akwa Ibom,akwa_ibom_onna,ab603c99-7967-454e-9f9b-a6f7fb540f2d,Awa IV,Tap,outlet,,ab603c99-7967-454e-9f9b-a6f7fb540f2d,South-South
Mechanical Issue,,Ikot Udo,,,"Water Scheme, Source within 100m",1346995585943.jpg,No,4.62795252 7.82882266 50.099998474121094 5.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1346995585943.jpg,water,Akwa Ibom,akwa_ibom_onna,0d5a4a61-690b-4539-a9ba-874b92b1b387,Oniong West 3,Tap,outlet,,0d5a4a61-690b-4539-a9ba-874b92b1b387,South-South
Poorly Constructed,,ABAT,,,"Water Scheme, Source within 100m",1347269252846.jpg,No,4.612031579017639 7.863544821739197 53.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347269252846.jpg,water,Akwa Ibom,akwa_ibom_onna,3fd440e2-7175-4448-a8d1-092169594073,ONIONG EAST 1,Tap,outlet,,3fd440e2-7175-4448-a8d1-092169594073,South-South
Mechanical Issue,,Ukpana,,,"Water Scheme, Source within 100m",1346834223040.jpg,No,4.58850813 7.82786402 37.400001525878906 5.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1346834223040.jpg,water,Akwa Ibom,akwa_ibom_onna,246ac5fe-2357-4369-b3ed-39d0b713c99b,Oniong west 2,Tap,outlet,,246ac5fe-2357-4369-b3ed-39d0b713c99b,South-South
Poorly Constructed,,NDON EYO,,,"Water Scheme, Source within 100m",1347273877258.jpg,No,4.624713063240051 7.860696315765381 33.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347273877258.jpg,water,Akwa Ibom,akwa_ibom_onna,5393485e-a119-4ff7-9618-30e0d4afff4b,NUNG NDEM 1,Tap,outlet,,5393485e-a119-4ff7-9618-30e0d4afff4b,South-South
Mechanical Issue,,Ikot Mbong,,,"Water Scheme, Source within 1km",1347359387545.jpg,No,4.700480103492737 7.855364084243774 48.0 4.0,True,Onna,604,604,604.0,Tap (unknown lift),No,1347359387545.jpg,water,Akwa Ibom,akwa_ibom_onna,2dd1ad48-b04e-44ca-80ca-f64d489c499b,Awa IV,Tap,outlet,,2dd1ad48-b04e-44ca-80ca-f64d489c499b,South-South
