"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga"
1,100180,"Abadam","Borno","Northeast",3967.05423,"Others",25.2529948399521,"borno_abadam"
2,58444,"Abaji","FCT","North-Central",992.3612415,"113",58.8938760966311,"fct_abaji"
3,139090,"Abak","Akwa Ibom","South-South",189.9845631,"Others",732.112113376226,"akwa_ibom_abak"
4,151723,"Abakaliki","Ebonyi","Southeast",584.0551672,"Others",259.775118037856,"ebonyi_abakaliki"
5,107488,"Aba North","Abia","Southeast",22.77506109,"Others",4719.5482626914,"abia_aba_north"
6,423852,"Aba South","Abia","Southeast",49.16654183,"Others",8620.74053256635,"abia_aba_south"
7,201329,"Abeokuta North","Ogun","Southwest",808.8314933,"Others",248.913403678912,"ogun_abeokuta_north"
8,250278,"Abeokuta South","Ogun","Southwest",71.47153479,"Others",3501.7857212018,"ogun_abeokuta_south"
9,144802,"Abi","Cross River","South-South",281.7728248,"Others",513.896257038908,"cross_river_abi"
10,195652,"Aboh Mbaise","Imo","Southeast",184.4838696,"Others",1060.5371647083,"imo_aboh_mbaise"
11,282988,"Abua Odual","Rivers","South-South",704.3381151,"Others",401.778625823511,"rivers_abua_odual"
12,202194,"Adavi","Kogi","North-Central",718.5035981,"Others",281.409864243796,"kogi_adavi"
13,308621,"Ado-Ekiti","Ekiti","Southwest",293.6513001,"Others",1050.97780903712,"ekiti_ado_ekiti"
14,526565,"Ado-Odo/Ota","Ogun","Southwest",878.9164562,"148",599.106998492902,"ogun_ado_odo_ota"
15,134173,"Afijio","Oyo","Southwest",722.6936659,"Others",185.656809144589,"oyo_afijio"
16,156611,"Afikpo North","Ebonyi","Southeast",240.1574665,"Others",652.117971939049,"ebonyi_afikpo_north"
17,157072,"Afikpo South","Ebonyi","Southeast",377.6751961,"113",415.891754666385,"ebonyi_afikpo_south"
18,132907,"Agaie","Niger","North-Central",1904.354705,"Others",69.7910949315506,"niger_agaie"
19,115523,"Agatu","Benue","North-Central",1014.608427,"Others",113.859689044353,"benue_agatu"
20,57413,"Agwara","Niger","North-Central",1539.668996,"148",37.2891836811397,"niger_agwara"
21,459939,"Agege","Lagos","Southwest",11.21455704,"Others",41012.6765024684,"lagos_agege"
