"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga"
22,370172,"Aguata","Anambra","Southeast",195.1025738,"Others",1897.31992146584,"anambra_aguata"
23,170902,"Ahiazu-Mbaise","Imo","Southeast",113.7162833,"Others",1502.8806345098,"imo_ahiazu_mbaise"
24,166747,"Ahoada East","Rivers","South-South",341.173834,"Others",488.744983884081,"rivers_ahoada_east"
25,249425,"Ahoada West","Rivers","South-South",403.4593903,"Others",618.215874996825,"rivers_ahoada_west"
26,122321,"Ajaokuta","Kogi","North-Central",1362.399481,"113",89.7835045490597,"kogi_ajaokuta"
27,684105,"Ajeromi-Ifelodun","Lagos","Southwest",12.34939094,"148",55395.8493438058,"lagos_ajeromi_ifelodun"
28,174137,"Ajingi","Kano","Northwest",713.7992546,"Others",243.957945988026,"kano_ajingi"
29,151125,"Akamkpa","Cross River","South-South",5001.719905,"Others",30.2146067493557,"cross_river_akamkpa"
30,211359,"Akinyele","Oyo","Southwest",518.8703114,"Others",407.344562516436,"oyo_akinyele"
31,337853,"Akko","Gombe","Northeast",2624.324378,"113",128.739039591393,"gombe_akko"
32,262110,"Akoko-Edo","Edo","South-South",1371.71971,"148",191.081310627227,"edo_akoko_edo"
33,175409,"Akoko North East","Ondo","Southwest",372.5399552,"113",470.846140263883,"ondo_akoko_north_east"
34,213792,"Akoko North West","Ondo","Southwest",512.7781109,"Pilot",416.928873240638,"ondo_akoko_north_west"
35,229486,"Akoko South West","Ondo","Southwest",530.374779,"Others",432.686487152889,"ondo_akoko_south_west"
36,82426,"Akoko South East","Ondo","Southwest",225.6997583,"Others",365.201986129021,"ondo_akoko_south_east"
37,271395,"Akpabuyo","Cross River","South-South",807.2272151,"Others",336.206454543755,"cross_river_akpabuyo"
38,156006,"Akuku Toru","Rivers","South-South",1443.84585,"113",108.0489305697,"rivers_akuku_toru"
39,131587,"Akure North","Ondo","Southwest",660.5878138,"148",199.196832353071,"ondo_akure_north"
40,353211,"Akure South","Ondo","Southwest",331.7273761,"Others",1064.76289099976,"ondo_akure_south"
41,113430,"Akwanga","Nasarawa","North-Central",995.9315374,"113",113.893370919976,"nasarawa_akwanga"
42,190153,"Albasu","Kano","Northwest",398.1321219,"Others",477.612806252697,"kano_albasu"
43,65972,"Aliero","Kebbi","Northwest",350.836564,"Others",188.041973869063,"kebbi_aliero"
44,1277714,"Alimosho","Lagos","Southwest",185.4670447,"Others",6889.1699981889,"lagos_alimosho"
45,329424,"Alkaleri","Bauchi","Northeast",5913.769484,"148",55.7045723360157,"bauchi_alkaleri"
46,318166,"Amuwo-Odofin","Lagos","Southwest",134.7728785,"Others",2360.75687884043,"lagos_amuwo_odofin"
47,153331,"Anambra East","Anambra","Southeast",250.7540066,"148",611.479760898066,"anambra_anambra_east"
48,167416,"Anambra West","Anambra","Southeast",953.9856429,"113",175.49111063252,"anambra_anambra_west"
49,285002,"Anaocha","Anambra","Southeast",104.3814037,"Others",2730.39056668674,"anambra_anaocha"
50,211009,"Andoni","Rivers","South-South",232.8566638,"148",906.175483907281,"rivers_andoni"
51,133723,"Aninri","Enugu","Southeast",363.620773,"113",367.754017177671,"enugu_aninri"
52,104711,"Aniocha North","Delta","South-South",406.4548554,"Others",257.620246403384,"delta_aniocha_north"
53,140604,"Aniocha South","Delta","South-South",868.3593697,"Others",161.919137290562,"delta_aniocha_south"
54,142280,"Anka","Zamfara","Northwest",2747.685621,"148",51.7817609527753,"zamfara_anka"
55,267353,"Ankpa","Kogi","North-Central",1199.642852,"Others",222.860495150102,"kogi_ankpa"
56,96765,"Apa","Benue","North-Central",995.3105558,"Others",97.2209120420945,"benue_apa"
57,217362,"Apapa","Lagos","Southwest",26.69798227,"148",8141.51413398178,"lagos_apapa"
58,178882,"Ado","Benue","North-Central",1220.34734,"113",146.582857303561,"benue_ado"
59,86921,"Ardo-Kola","Taraba","Northeast",2259.677362,"Others",38.4661108978265,"taraba_ardo_kola"
60,184030,"Arewa-Dandi","Kebbi","Northwest",3905.053023,"148",47.1261206739318,"kebbi_arewa_dandi"
61,195484,"Argungu","Kebbi","Northwest",1296.852371,"Others",150.737280797245,"kebbi_argungu"
62,170206,"Arochukwu","Abia","Southeast",524.2567225,"148",324.661549762006,"abia_arochukwu"
63,126435,"Asa","Kwara","North-Central",1287.347609,"113",98.2135664960092,"kwara_asa"
64,220100,"Asari Toru","Rivers","South-South",112.6520335,"148",1953.80405627565,"rivers_asari_toru"
65,138091,"Askira/Uba","Borno","Northeast",2358.381062,"Others",58.553302612977,"borno_askira_uba"
66,76197,"Atakunmosa East","Osun","Southwest",238.2650173,"113",319.799359819827,"osun_atakunmosa_east"
67,68643,"Atakunmosa West","Osun","Southwest",577.5501469,"Others",118.852017211737,"osun_atakunmosa_west"
68,169702,"Atiba","Oyo","Southwest",1758.790555,"Others",96.4878959109489,"oyo_atiba"
69,110792,"Atisbo","Oyo","Southwest",3001.526959,"Others",36.9118790247054,"oyo_atisbo"
70,117287,"Augie","Kebbi","Northwest",1186.471422,"113",98.8536241372698,"kebbi_augie"
71,132001,"Auyo","Jigawa","Northwest",512.172425,"Others",257.727658805528,"jigawa_auyo"
72,112574,"Awe","Nasarawa","North-Central",2556.076115,"148",44.0417244773636,"nasarawa_awe"
73,198134,"Awgu","Enugu","Southeast",446.2643807,"Others",443.983451444661,"enugu_awgu"
74,112608,"Awka North","Anambra","Southeast",351.8354191,"113",320.0587373723,"anambra_awka_north"
75,189049,"Awka South","Anambra","Southeast",170.2695131,"Others",1110.29271510849,"anambra_awka_south"
76,158410,"Ayamelum","Anambra","Southeast",588.7147858,"148",269.077665146014,"anambra_ayamelum"
77,150392,"Ayedaade","Osun","Southwest",1114.304827,"148",134.964864510993,"osun_ayedaade"
78,75846,"Ayedire","Osun","Southwest",262.7702763,"Others",288.639952234963,"osun_ayedire"
79,208101,"Babura","Jigawa","Northwest",992.2082479,"Others",209.735204721835,"jigawa_babura"
80,241093,"Badagry","Lagos","Southwest",442.0402377,"148",545.409624369135,"lagos_badagry"
81,237817,"Bagudo","Kebbi","Northwest",4787.4212,"Others",49.6753868241215,"kebbi_bagudo"
82,162847,"Bagwai","Kano","Northwest",404.9529866,"148",402.138039201215,"kano_bagwai"
83,32385,"Bakassi","Cross River","South-South",459.2999514,"Others",70.5094783948632,"cross_river_bakassi"
84,178454,"Bokkos","Plateau","North-Central",1681.848926,"Others",106.10584413454,"plateau_bokkos"
85,149371,"Bakori","Katsina","Northwest",678.9700465,"Others",219.996450167408,"katsina_bakori"
86,186905,"Bakura","Zamfara","Northwest",1367.151368,"148",136.71127014518,"zamfara_bakura"
87,212549,"Balanga","Gombe","Northeast",1624.482141,"113",130.841081373267,"gombe_balanga"
88,208935,"Bali","Taraba","Northeast",9137.655586,"113",22.8652741431964,"taraba_bali"
89,269986,"Bama","Borno","Northeast",4987.631862,"Others",54.1311001834321,"borno_bama"
90,139782,"Barde","Yobe","Northeast",770.8328737,"Others",181.338918939777,"yobe_barde"
91,175267,"Barkin-Ladi","Plateau","North-Central",1031.680894,"148",169.884894660073,"plateau_barkin_ladi"
92,209459,"Baruten","Kwara","North-Central",9762.197441,"Others",21.4561323171255,"kwara_baruten"
93,139993,"Bassa","Kogi","North-Central",1925.799483,"148",72.6934456239025,"kogi_bassa"
94,186859,"Bassa","Plateau","North-Central",1718.597314,"148",108.727622508085,"plateau_bassa"
95,184575,"Batagarawa","Katsina","Northwest",432.5809934,"Others",426.683101699123,"katsina_batagarawa"
96,208978,"Batsari","Katsina","Northwest",1107.146394,"Others",188.753719591666,"katsina_batsari"
97,493810,"Bauchi","Bauchi","Northeast",3685.260294,"Others",133.995962457245,"bauchi_bauchi"
98,197425,"Baure","Katsina","Northwest",706.4039737,"Others",279.478892178265,"katsina_baure"
99,78978,"Bayo","Borno","Northeast",955.1491099,"Others",82.6865660883762,"borno_bayo"
100,188859,"Bebeji","Kano","Northwest",716.7853126,"Others",263.480566189269,"kano_bebeji"
101,105822,"Bekwara","Cross River","South-South",305.5696255,"Others",346.310598858917,"cross_river_bekwara"
102,192111,"Bende","Abia","Southeast",601.5304693,"Others",319.370355791884,"abia_bende"
103,169183,"Biase","Cross River","South-South",1310.419734,"Others",129.105961708602,"cross_river_biase"
104,277099,"Bichi","Kano","Northwest",611.7439466,"Others",452.9656591456,"kano_bichi"
105,188181,"Bida","Niger","North-Central",51.05643395,"Others",3685.7450754255,"niger_bida"
106,202144,"Billiri","Gombe","Northeast",735.9631105,"Others",274.665940610348,"gombe_billiri"
107,152356,"Bindawa","Katsina","Northwest",398.1057134,"Others",382.702369927856,"katsina_bindawa"
108,105027,"Binji","Sokoto","Northwest",559.2668578,"113",187.794070997067,"sokoto_binji"
109,142329,"Biriniwa","Jigawa","Northwest",1566.520263,"148",90.8567883618879,"jigawa_biriniwa"
110,252363,"Birnin Gwari","Kaduna","Northwest",6187.88964,"113",40.7833711785461,"kaduna_birnin_gwari"
111,268420,"Birnin-Kebbi","Kebbi","Northwest",1328.451749,"Others",202.054760515054,"kebbi_birnin_kebbi"
112,313373,"Birnin-Kudu","Jigawa","Northwest",1417.312968,"Others",221.103600316455,"jigawa_birnin_kudu"
113,178619,"Birnin-Magaji","Zamfara","Northwest",1188.003269,"148",150.352279880806,"zamfara_birnin_magaji"
114,176072,"Biu","Borno","Northeast",3311.145421,"Others",53.175556374937,"borno_biu"
115,175406,"Bodinga","Sokoto","Northwest",564.6039522,"Others",310.670868166126,"sokoto_bodinga"
116,84215,"Bogoro","Bauchi","Northeast",893.7797415,"Others",94.223437934121,"bauchi_bogoro"
117,186141,"Boki","Cross River","South-South",2770.246399,"113",67.192939973568,"cross_river_boki"
118,70775,"Boluwaduro","Osun","Southwest",143.7813218,"Others",492.240571403622,"osun_boluwaduro"
119,86644,"Bomadi","Delta","South-South",128.9961006,"148",671.679218185608,"delta_bomadi"
120,215358,"Bonny","Rivers","South-South",641.7583111,"Others",335.574929494668,"rivers_bonny"
121,171965,"Borgu","Niger","North-Central",11279.79145,"Others",15.2454059777852,"niger_borgu"
122,139358,"Boripe","Osun","Southwest",132.0668869,"Others",1055.20773050038,"osun_boripe"
123,109124,"Bosari","Yobe","Northeast",3814.334712,"Others",28.6089208838157,"yobe_bosari"
124,147359,"Bosso","Niger","North-Central",1592.903744,"Others",92.5096701888347,"niger_bosso"
125,185049,"Brass","Bayelsa","South-South",1404.369323,"113",131.766620766609,"bayelsa_brass"
126,97371,"Buji","Jigawa","Northwest",548.2123905,"Others",177.615467449016,"jigawa_buji"
127,211633,"Bukkuyum","Zamfara","Northwest",3215.815702,"113",65.8100524443549,"zamfara_bukkuyum"
128,203721,"Buruku","Benue","North-Central",1245.273739,"Others",163.595355478704,"benue_buruku"
129,257917,"Bungudu","Zamfara","Northwest",2293.483548,"Others",112.456442177191,"zamfara_bungudu"
130,170891,"Bunkure","Kano","Northwest",487.1624405,"148",350.788537442677,"kano_bunkure"
131,121461,"Bunza","Kebbi","Northwest",877.4128801,"113",138.430837698846,"kebbi_bunza"
132,209666,"Burutu","Delta","South-South",1938.904411,"148",108.136326272972,"delta_burutu"
133,227216,"Bwari","FCT","North-Central",914.4087127,"113",248.484071558213,"fct_bwari"
134,179392,"Calabar-Municipal","Cross River","South-South",184.0515169,"Others",974.683626744942,"cross_river_calabar_municipal"
135,191630,"Calabar South","Cross River","South-South",141.5588795,"Others",1353.71232576053,"cross_river_calabar_south"
136,201429,"Chanchaga","Niger","North-Central",72.39311831,"Others",2782.43298123236,"niger_chanchaga"
137,137613,"Charanchi","Katsina","Northwest",470.7862384,"Others",292.304635895236,"katsina_charanchi"
138,66105,"Chibok","Borno","Northeast",1347.776295,"148",49.0474570930185,"borno_chibok"
139,368250,"Chikun","Kaduna","Northwest",4646.43162,"Others",79.254367677534,"kaduna_chikun"
140,418777,"Dala","Kano","Northwest",19.05526127,"Others",21976.9749711755,"kano_dala"
141,88014,"Damaturu","Yobe","Northeast",2363.534904,"Others",37.2382907699171,"yobe_damaturu"
142,150922,"Damban","Bauchi","Northeast",1076.43495,"Others",140.205406745665,"bauchi_damban"
143,207968,"Dambatta","Kano","Northwest",731.5852426,"Others",284.270359610996,"kano_dambatta"
144,231573,"Damboa","Borno","Northeast",6209.867213,"148",37.2911355520155,"borno_damboa"
145,144273,"Dandi","Kebbi","Northwest",2005.22066,"Others",71.948690175574,"kebbi_dandi"
146,145739,"Dandume","Katsina","Northwest",422.5749158,"Others",344.883225555623,"katsina_dandume"
147,194546,"Dange/shuni","Sokoto","Northwest",1210.918596,"Others",160.659850003658,"sokoto_dange_shuni"
148,125703,"Danja","Katsina","Northwest",501.0820692,"Others",250.863097537476,"katsina_danja"
149,113691,"Dan-Musa","Katsina","Northwest",791.6839094,"Others",143.606556417401,"katsina_dan_musa"
150,251597,"Darazo","Bauchi","Northeast",3012.367435,"Others",83.5213517038966,"bauchi_darazo"
151,89943,"Dass","Bauchi","Northeast",534.8070758,"Others",168.178403147448,"bauchi_dass"
152,219721,"Daura","Katsina","Northwest",316.0199395,"Others",695.275748573453,"katsina_daura"
153,225389,"Dawakin-Kudu","Kano","Northwest",384.1754789,"Others",586.682420870147,"kano_dawakin_kudu"
154,247875,"Dawakin-Tofa","Kano","Northwest",479.0294949,"Others",517.452479730387,"kano_dawakin_tofa"
155,249773,"Degema","Rivers","South-South",1010.90431,"148",247.078776427415,"rivers_degema"
156,260312,"Dekina","Kogi","North-Central",2462.087526,"Others",105.728166546099,"kogi_dekina"
157,180251,"Demsa","Adamawa","Northeast",1823.065418,"Others",98.8724805047012,"adamawa_demsa"
158,105909,"Dikwa","Borno","Northeast",1770.811943,"148",59.808157731631,"borno_dikwa"
159,151181,"Doguwa","Kano","Northwest",1472.915186,"Others",102.640668951593,"kano_doguwa"
160,139607,"Doma","Nasarawa","North-Central",2714.059155,"Others",51.4384514216677,"nasarawa_doma"
161,134111,"Donga","Taraba","Northeast",3118.949104,"Others",42.9987779627455,"taraba_donga"
162,207190,"Dukku","Gombe","Northeast",3812.178384,"113",54.3495028641871,"gombe_dukku"
163,96382,"Dunukofia","Anambra","Southeast",65.57204442,"148",1469.8641906398,"anambra_dunukofia"
164,246143,"Dutse","Jigawa","Northwest",1098.712016,"Others",224.028677592983,"jigawa_dutse"
165,120023,"Dutsi","Katsina","Northwest",282.9339234,"Others",424.208587495238,"katsina_dutsi"
166,169671,"Dutsin-Ma","Katsina","Northwest",526.7439147,"Others",322.112881164719,"katsina_dutsin_ma"
167,60543,"Eastern-Obolo","Akwa Ibom","South-South",120.4946734,"Others",502.453745810145,"akwa_ibom_eastern_obolo"
168,126837,"Ebonyi","Ebonyi","Southeast",443.482387,"Others",286.00233902863,"ebonyi_ebonyi"
169,160321,"Edati","Niger","North-Central",1752.921383,"148",91.4593213105895,"niger_edati"
170,83831,"Ede North","Osun","Southwest",110.9533927,"Others",755.551479409606,"osun_ede_north"
171,76035,"Ede South","Osun","Southwest",218.8913946,"113",347.364043885533,"osun_ede_south"
172,201469,"Edu","Kwara","North-Central",2543.735125,"Others",79.2020356286113,"kwara_edu"
173,167254,"Ife-Central","Osun","Southwest",111.0257948,"Others",1506.4427172198,"osun_ife_central"
174,188087,"Ife-East","Osun","Southwest",172.0418304,"Others",1093.26318816008,"osun_ife_east"
175,153694,"Ife-North","Osun","Southwest",890.436192,"Others",172.605293204434,"osun_ife_north"
176,135338,"Ife-South","Osun","Southwest",730.6872159,"148",185.220155840967,"osun_ife_south"
177,86941,"Efon","Ekiti","Southwest",232.2607155,"148",374.325033025225,"ekiti_efon"
178,181826,"Egbado North","Ogun","Southwest",2089.817587,"113",87.0056798885577,"ogun_egbado_north"
179,168850,"Egbado South","Ogun","Southwest",629.4931107,"Others",268.231688528311,"ogun_egbado_south"
180,281573,"Egbeda","Oyo","Southwest",190.8867095,"Others",1475.07912278199,"oyo_egbeda"
181,74435,"Egbedore","Osun","Southwest",270.7712688,"Others",274.899919514651,"osun_egbedore"
182,339899,"Egor","Edo","South-South",92.94754751,"Others",3656.89046247757,"edo_egor"
183,130931,"Ehime-Mbano","Imo","Southeast",168.6249151,"Others",776.462955799585,"imo_ehime_mbano"
184,132641,"Ejigbo","Osun","Southwest",373.5586672,"Others",355.074079780313,"osun_ejigbo"
185,270257,"Ekeremor","Bayelsa","South-South",1811.346174,"148",149.202291576983,"bayelsa_ekeremor"
186,172557,"Eket","Akwa Ibom","South-South",167.4831066,"Others",1030.29495632726,"akwa_ibom_eket"
187,54850,"Ekiti","Kwara","North-Central",480.0864902,"148",114.25024681938,"kwara_ekiti"
188,137955,"Ekiti East","Ekiti","Southwest",320.8415783,"113",429.978560543691,"ekiti_ekiti_east"
189,165277,"Ekiti South-West","Ekiti","Southwest",345.9703741,"148",477.720095051341,"ekiti_ekiti_south_west"
190,179892,"Ekiti West","Ekiti","Southwest",366.1935618,"148",491.248396382921,"ekiti_ekiti_west"
191,158231,"Ekwusigo","Anambra","Southeast",116.4667022,"Others",1358.59431932984,"anambra_ekwusigo"
192,190884,"Eleme","Rivers","South-South",138.0841968,"Others",1382.37397489066,"rivers_eleme"
193,201901,"Emuoha","Rivers","South-South",831.4709125,"Others",242.823888322131,"rivers_emuoha"
194,93884,"Emure","Ekiti","Southwest",301.0868812,"Others",311.816973312884,"ekiti_emure"
195,279089,"Enugu East","Enugu","Southeast",383.3100179,"Others",728.10254615576,"enugu_enugu_east"
196,244852,"Enugu North","Enugu","Southeast",106.3694216,"Others",2301.90214741188,"enugu_enugu_north"
197,198723,"Enugu South","Enugu","Southeast",67.43521514,"Others",2946.87278134188,"enugu_enugu_south"
198,181409,"Epe","Lagos","Southwest",1186.915542,"148",152.84069807892,"lagos_epe"
199,105310,"Esan Central","Edo","South-South",338.5274937,"Others",311.082561859288,"edo_esan_central"
200,119346,"Esan North-East","Edo","South-South",252.6356913,"Others",472.403560185322,"edo_esan_north_east"
201,167721,"Esan South-East","Edo","South-South",1306.968189,"113",128.328295525179,"edo_esan_south_east"
202,125842,"Esan West","Edo","South-South",502.4137594,"148",250.47482805862,"edo_esan_west"
203,154978,"Ese-Odo","Ondo","Southwest",762.6990089,"148",203.196802659435,"ondo_ese_odo"
204,63701,"Esit-Eket","Akwa Ibom","South-South",167.9649663,"148",379.251705895767,"akwa_ibom_esit_eket"
205,192668,"Essien Udim","Akwa Ibom","South-South",295.0497968,"148",653.001635959778,"akwa_ibom_essien_udim"
206,249454,"Etche","Rivers","South-South",805.4289378,"Others",309.715715804022,"rivers_etche"
207,200792,"Ethiope East","Delta","South-South",380.549059,"Others",527.637620567602,"delta_ethiope_east"
208,203592,"Ethiope West","Delta","South-South",536.8423915,"113",379.239797794545,"delta_ethiope_west"
209,105418,"Etim-Eko","Akwa Ibom","South-South",205.899836,"Others",511.986808964724,"akwa_ibom_etim_eko"
210,169284,"Etinan","Akwa Ibom","South-South",174.8787999,"Others",968.007557787455,"akwa_ibom_etinan"
211,287785,"Eti-osa","Lagos","Southwest",192.6066506,"113",1494.15920532082,"lagos_eti_osa"
212,94575,"Etsako-Central","Edo","South-South",660.3800436,"Others",143.212989121284,"edo_etsako_central"
213,145996,"Etsako East","Edo","South-South",1133.424248,"148",128.809667040051,"edo_etsako_east"
214,197609,"Etsako West","Edo","South-South",946.1014423,"113",208.866608975468,"edo_etsako_west"
215,80196,"Etung","Cross River","South-South",814.7361625,"Others",98.4318650517737,"cross_river_etung"
216,55156,"Ewekoro","Ogun","Southwest",594.9150083,"148",92.7124029995664,"ogun_ewekoro"
217,169718,"Ezeagu","Enugu","Southeast",633.0142086,"148",268.110885497113,"enugu_ezeagu"
218,165593,"Ezinihitte","Imo","Southeast",109.3306859,"Others",1514.60679713892,"imo_ezinihitte"
219,145619,"Ezza North","Ebonyi","Southeast",304.5507269,"Others",478.14366257551,"ebonyi_ezza_north"
220,133205,"Ezza South","Ebonyi","Southeast",324.3020835,"148",410.743583767324,"ebonyi_ezza_south"
221,198828,"Fagge","Kano","Northwest",20.70920062,"Others",9600.95001484417,"kano_fagge"
222,121212,"Fakai","Kebbi","Northwest",2248.811864,"Others",53.9004627022903,"kebbi_fakai"
223,196035,"Faskari","Katsina","Northwest",1750.333968,"Others",111.998626310153,"katsina_faskari"
224,136895,"Fika","Yobe","Northeast",2205.986089,"Others",62.0561483513507,"yobe_fika"
225,207287,"Fufore","Adamawa","Northeast",4964.877912,"148",41.7506741704548,"adamawa_fufore"
226,236087,"Funakaye","Gombe","Northeast",1413.218118,"Others",167.056307156685,"gombe_funakaye"
227,300760,"Fune","Yobe","Northeast",4943.196491,"113",60.8432216982653,"yobe_fune"
228,225571,"Funtua","Katsina","Northwest",448.4904082,"Others",502.95612988764,"katsina_funtua"
229,211055,"Gabasawa","Kano","Northwest",605.1456046,"113",348.767302275139,"kano_gabasawa"
230,248267,"Gada","Sokoto","Northwest",1316.042672,"148",188.646618595358,"sokoto_gada"
231,80394,"Gagarawa","Jigawa","Northwest",653.3490177,"Others",123.049086815823,"jigawa_gagarawa"
232,286388,"Gamawa","Bauchi","Northeast",2923.211458,"Others",97.9703330103737,"bauchi_gamawa"
233,280468,"Ganjuwa","Bauchi","Northeast",5055.557976,"113",55.4771602524295,"bauchi_ganjuwa"
234,164087,"Ganaye","Adamawa","Northeast",1885.552311,"Others",87.0233082597304,"adamawa_ganaye"
235,152233,"Garki","Jigawa","Northwest",1407.3954,"Others",108.166475462404,"jigawa_garki"
236,162500,"Garko","Kano","Northwest",450.1472483,"Others",360.992987547271,"kano_garko"
237,116494,"Garun Mallam","Kano","Northwest",214.1754551,"113",543.918536069449,"kano_garun_mallam"
238,87781,"Gashaka","Taraba","Northeast",8384.202287,"Others",10.4698094100267,"taraba_gashaka"
239,244749,"Gassol","Taraba","Northeast",5543.366588,"148",44.1516894318013,"taraba_gassol"
240,201016,"Gaya","Kano","Northwest",613.0154313,"Others",327.913441874885,"kano_gaya"
241,177785,"Gayuk","Adamawa","Northeast",756.339085,"Others",235.059913636488,"adamawa_gayuk"
242,282069,"Gazewa","Kano","Northwest",339.8391668,"Others",830.007331574002,"kano_gazewa"
243,127446,"Gbako","Niger","North-Central",1754.151606,"Others",72.6539254441158,"niger_gbako"
244,358936,"Gboko","Benue","North-Central",1834.40356,"Others",195.66904896325,"benue_gboko"
245,148193,"Gbonyin","Ekiti","Southwest",391.578957,"Others",378.449856282752,"ekiti_gbonyin"
246,157295,"Geidam","Yobe","Northeast",4351.649976,"148",36.1460597399849,"yobe_geidam"
247,156969,"Giade","Bauchi","Northeast",667.3141468,"148",235.225044685056,"bauchi_giade"
248,286427,"Giwa","Kaduna","Northwest",2066.268322,"148",138.620428407265,"kaduna_giwa"
249,228828,"Gokana","Rivers","South-South",125.9365245,"Others",1817.01060044737,"rivers_gokana"
250,268000,"Gombe","Gombe","Northeast",51.77148733,"Others",5176.59456626625,"gombe_gombe"
251,146429,"Gombi","Adamawa","Northeast",1099.168839,"148",133.217932318039,"adamawa_gombi"
252,182296,"Goronyo","Sokoto","Northwest",1704.680298,"Others",106.938526956566,"sokoto_goronyo"
253,129995,"Grie","Adamawa","Northeast",1845.576493,"113",70.4359859876044,"adamawa_grie"
254,152778,"Gubio","Borno","Northeast",2460.111051,"148",62.102074594518,"borno_gubio"
255,95544,"Gudu","Sokoto","Northwest",3481.309124,"148",27.4448480720438,"sokoto_gudu"
256,130088,"Gujba","Yobe","Northeast",3234.784232,"Others",40.215356162896,"yobe_gujba"
257,103510,"Gulani","Yobe","Northeast",2087.210022,"Others",49.5925177193309,"yobe_gulani"
258,191599,"Guma","Benue","North-Central",2880.984852,"148",66.5046884460328,"benue_guma"
259,107161,"Gumel","Jigawa","Northwest",223.3721011,"Others",479.742096135926,"jigawa_gumel"
260,204539,"Gummi","Zamfara","Northwest",2612.036747,"Others",78.3063256039254,"zamfara_gummi"
261,90974,"Gurara","Niger","North-Central",954.7240145,"Others",95.2882703465296,"niger_gurara"
262,115018,"Guri","Jigawa","Northwest",1059.079802,"113",108.601825644108,"jigawa_guri"
263,383162,"Gusau","Zamfara","Northwest",3365.612881,"Others",113.846129530546,"zamfara_gusau"
264,95648,"Guzamala","Borno","Northeast",2512.672291,"113",38.0662453844842,"borno_guzamala"
265,231358,"Gwadabawa","Sokoto","Northwest",992.1064398,"Others",233.198768517862,"sokoto_gwadabawa"
266,157770,"Gwagwalada","FCT","North-Central",1043.552917,"Others",151.185433368876,"fct_gwagwalada"
267,362059,"Gwale","Kano","Northwest",18.28695902,"Others",19798.7538334846,"kano_gwale"
268,151019,"Gwandu","Kebbi","Northwest",1019.254443,"Others",148.166143436669,"kebbi_gwandu"
269,272582,"Gwaram","Jigawa","Northwest",1911.112434,"Others",142.630017549245,"jigawa_gwaram"
270,183987,"Gwarzo","Kano","Northwest",393.0298753,"Others",468.124719169408,"kano_gwarzo"
271,163647,"Gwer East","Benue","North-Central",2293.945926,"Others",71.3386475876328,"benue_gwer_east"
272,122145,"Gwer West","Benue","North-Central",1093.949065,"113",111.655107086727,"benue_gwer_west"
273,124517,"Gwiwa","Jigawa","Northwest",450.2423204,"Others",276.555522122793,"jigawa_gwiwa"
274,276312,"Gwoza","Borno","Northeast",2877.717929,"Others",96.0177497646608,"borno_gwoza"
275,105628,"Hadejia","Jigawa","Northwest",32.46903988,"Others",3253.19135984258,"jigawa_hadejia"
276,120314,"Hawul","Borno","Northeast",2095.253027,"Others",57.422181688608,"borno_hawul"
277,169126,"Hong","Adamawa","Northeast",2621.70324,"Others",64.509971006482,"adamawa_hong"
