"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"58634",58634,"1fa8fb2d-3eff-43d5-88b0-9f2375649e2f","1fa8fb2d-3eff-43d5-88b0-9f2375649e2f","kaduna South","Kaduna","Northwest",396,"10.51932105 7.40687885 633.4000244140625 5.0","1347099639516.jpg","kaduna_kaduna_south","1347099639516.jpg","Borehole",NA,"borehole_tube_well","water_source","TUDUN WADA","XXX","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58635",58635,"46cb3e1a-9283-4f9c-ae45-5c8611644045","46cb3e1a-9283-4f9c-ae45-5c8611644045","kaduna South","Kaduna","Northwest",396,"10.51540195941925 7.4104660749435425 629.0 4.0","1347523648719.jpg","kaduna_kaduna_south","1347523648719.jpg","Borehole",NA,"borehole_tube_well","water_source","kasuwa barci,tudun wada","7","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"58636",58636,"1976cf5a-5d9a-40a0-b6ef-035de119f608","1976cf5a-5d9a-40a0-b6ef-035de119f608","kaduna South","Kaduna","Northwest",396,"10.485248565673828 7.4132126569747925 614.0 4.0","1347348959985.jpg","kaduna_kaduna_south","1347348959985.jpg","Borehole",NA,"borehole_tube_well","water_source","Dawn quarters","Makera1","Yes",NA,"No","Dry Well","No","Stand Alone Water Point"
"58637",58637,"390da9ba-8a49-41bd-8897-1c0db1c721f3","390da9ba-8a49-41bd-8897-1c0db1c721f3","kaduna South","Kaduna","Northwest",396,"10.51996065 7.39519691 601.9000244140625 5.0","1347094624737.jpg","kaduna_kaduna_south","1347094624737.jpg","Tap",NA,NA,"outlet","Askolare","Ungwar Sanusi","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58638",58638,"d3b55226-3bb3-439a-8d9e-2e7084e40bde","d3b55226-3bb3-439a-8d9e-2e7084e40bde","kaduna South","Kaduna","Northwest",396,"10.55332187 7.41480574 651.5999755859375 5.0","1347110236153.jpg","kaduna_kaduna_south","1347110236153.jpg","Tap",NA,NA,"outlet","Kurnin Mashi","Badiko Kurnin Mashi","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"58639",58639,"3d44d91c-5206-48fe-84a0-9ecbaa26fc44","3d44d91c-5206-48fe-84a0-9ecbaa26fc44","kaduna South","Kaduna","Northwest",396,"10.50287645 7.4098562 585.0 5.0","1347094351226.jpg","kaduna_kaduna_south","1347094351226.jpg","Borehole",NA,"borehole_tube_well","water_source","Tudun wada. (Abattor)","7","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58640",58640,"f7c98b95-22b6-4960-bf72-e64009b92c01","f7c98b95-22b6-4960-bf72-e64009b92c01","kaduna South","Kaduna","Northwest",396,"10.49797557 7.39304791 621.0 5.0","1347103383908.jpg","kaduna_kaduna_south","1347103383908.jpg","Borehole",NA,"borehole_tube_well","water_source","Ungwan muazu","Ward6","Yes","Animal Traction","No","Mechanical Issue","Yes","Stand Alone Water Point"
"58641",58641,"e6596e25-1b3e-49b2-9880-424f6e70061a","e6596e25-1b3e-49b2-9880-424f6e70061a","kaduna South","Kaduna","Northwest",396,"10.53025389 7.4037601 612.2000122070313 5.0","1347354824187.jpg","kaduna_kaduna_south","1347354824187.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"58642",58642,"4f10ee59-ea11-417a-9437-c2c2e3e7c618","4f10ee59-ea11-417a-9437-c2c2e3e7c618","kaduna South","Kaduna","Northwest",396,"10.52511546 7.40893569 634.5999755859375 5.0","1347102877635.jpg","kaduna_kaduna_south","1347102877635.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","11","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"58643",58643,"58a13e17-4a31-44f9-9e13-1d87b3ba8000","58a13e17-4a31-44f9-9e13-1d87b3ba8000","kaduna South","Kaduna","Northwest",396,"10.491637587547302 7.398396134376526 641.0 4.0","1347108670457.jpg","kaduna_kaduna_south","1347108670457.jpg","Borehole",NA,"borehole_tube_well","water_source","ungwan muazu  gss","6","Yes","Hand Pump","No","Poor Water Quality","No","Stand Alone Water Point"
"58644",58644,"044a114a-905e-4ee9-a503-84bf85c6e2b5","044a114a-905e-4ee9-a503-84bf85c6e2b5","kaduna South","Kaduna","Northwest",396,"10.52574925 7.4017814 617.2999877929688 5.0","1347361901027.jpg","kaduna_kaduna_south","1347361901027.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"58645",58645,"cf33afa3-8112-442e-955b-f0399c650d55","cf33afa3-8112-442e-955b-f0399c650d55","kaduna South","Kaduna","Northwest",396,"10.50172674 7.40340919 617.5 5.0","1347371357604.jpg","kaduna_kaduna_south","1347371357604.jpg","Borehole",NA,"borehole_tube_well","water_source","Kinkinau","Ward 6","Yes","Hand Pump","Yes","Functional","No","Stand Alone Water Point"
"58646",58646,"06121439-838e-4533-942e-ba63f499e641","06121439-838e-4533-942e-ba63f499e641","kaduna South","Kaduna","Northwest",396,"10.52400663 7.40792836 635.7999877929688 5.0","1347102019399.jpg","kaduna_kaduna_south","1347102019399.jpg","Tap",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","11","Yes","Solar","Yes","Functional","No","Stand Alone Water Point"
"58647",58647,"29ec6f9d-9952-44ff-8596-99a3a7b376a9","29ec6f9d-9952-44ff-8596-99a3a7b376a9","kaduna South","Kaduna","Northwest",396,"10.5328563 7.41340218 641.9000244140625 5.0","1347107320361.jpg","kaduna_kaduna_south","1347107320361.jpg","Tap",NA,NA,"outlet","44 Millitary Bsrracks","Badiko Kurmi Mashi","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"58648",58648,"1261caf0-cd44-4c2e-9e91-b5755d70a32e","1261caf0-cd44-4c2e-9e91-b5755d70a32e","kaduna South","Kaduna","Northwest",396,"10.51082413 7.41360692 617.5999755859375 5.0","1347093198430.jpg","kaduna_kaduna_south","1347093198430.jpg","Tap",NA,NA,"outlet","Zango","Twads","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"58649",58649,"a15fcaab-99a5-401b-9e5b-8017936f3748","a15fcaab-99a5-401b-9e5b-8017936f3748","kaduna South","Kaduna","Northwest",396,"10.55342838 7.41517928 652.2000122070313 5.0","1347109819744.jpg","kaduna_kaduna_south","1347109819744.jpg","Tap",NA,"borehole_tube_well","water_source","KURUMIN MASHI","BADIKO","Yes","Electric","Yes","Functional","Yes","Stand Alone Water Point"
"58650",58650,"71be13c0-799b-4578-b82a-1ee085bf0879","71be13c0-799b-4578-b82a-1ee085bf0879","kaduna South","Kaduna","Northwest",396,"10.52603593 7.40189466 627.9000244140625 5.0","1347361348803.jpg","kaduna_kaduna_south","1347361348803.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes","Manual","Yes","Functional","No","Stand Alone Water Point"
"58651",58651,"0da6907d-fb7e-4d7d-9f2e-6af072bb601a","0da6907d-fb7e-4d7d-9f2e-6af072bb601a","kaduna South","Kaduna","Northwest",396,"10.53107726 7.40543319 626.7999877929688 5.0","1347357320177.jpg","kaduna_kaduna_south","1347357320177.jpg","Borehole",NA,"borehole_tube_well","water_source","UNGWAN SANUSI","UNGWAN SANUSI","Yes",NA,"Yes","Functional","No","Stand Alone Water Point"
"58652",58652,"268078b8-e05a-4ab5-bb4e-793204e290dc","268078b8-e05a-4ab5-bb4e-793204e290dc","kaduna South","Kaduna","Northwest",396,"10.497061014175415 7.3948341608047485 637.0 4.0","1347101735569.jpg","kaduna_kaduna_south","1347101735569.jpg","Tap",NA,NA,"outlet","ungwan muazu","6","Yes","Tap (unknown lift)","No","Don't Know","No","Water Scheme, Source further than 1km"
"58653",58653,"4126c9b3-bb22-4897-8b50-b1ee8fc75713","4126c9b3-bb22-4897-8b50-b1ee8fc75713","kaduna South","Kaduna","Northwest",396,"10.47646164894104 7.423281669616699 633.0 4.0","1347441551123.jpg","kaduna_kaduna_south","1347441551123.jpg","Tap",NA,NA,"outlet","kakuri","two","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
