"lga_id","num_existing_schools","num_existing_classrooms","total_teachers","primary_js","improved_functional_water_numerator","improved_functional_water_denominator","improved_functional_water_percent","improved_sanitation_numerator","improved_sanitation_denominator","improved_sanitation_percent","phcn_electricity_numerator","phcn_electricity_denominator","phcn_electricity_percent","num_classrm_w_chalkboard_numerator","num_classrm_w_chalkboard_denominator","num_classrm_w_chalkboard_percent","num_tchrs_with_nce_numerator","num_tchrs_with_nce_denominator","num_tchrs_with_nce_percent","lga","state","zone","pop_2006"
2,87,890,1209,82,33,87,38,47,87,55,12,87,14,13,87,15,842,87,968,"Abaji","FCT","North-Central",58444
3,46,602,1057,41,15,46,33,28,46,61,10,46,22,182,46,396,763,46,1659,"Abak","Akwa Ibom","South-South",139090
4,51,676,1026,49,20,51,40,28,51,55,14,51,28,1378,51,2702,645,51,1265,"Abakaliki","Ebonyi","Southeast",151723
5,75,3019,2001,70,52,75,70,58,75,78,34,75,46,481,75,642,952,75,1270,"Aba North","Abia","Southeast",107488
6,53,882,1006,52,15,53,29,21,53,40,29,53,55,212,53,400,447,53,844,"Aba South","Abia","Southeast",423852
7,147,1639,3012,126,25,147,18,109,147,75,86,147,59,1408,147,958,2008,147,1366,"Abeokuta North","Ogun","Southwest",201329
8,111,1491,2663,82,22,111,20,77,111,70,73,111,66,1008,111,909,1636,111,1474,"Abeokuta South","Ogun","Southwest",250278
9,76,2688,1210,72,28,76,37,31,76,41,31,76,41,418,76,550,666,76,877,"Abi","Cross River","South-South",144802
10,97,1041,1137,86,29,97,30,71,97,74,40,97,42,320,97,330,553,97,571,"Aboh Mbaise","Imo","Southeast",195652
11,68,499,627,50,9,68,14,13,68,20,15,68,23,292,68,430,276,68,406,"Abua Odual","Rivers","South-South",282988
12,112,1821,1467,94,25,112,23,63,112,57,53,112,48,2557,112,2284,894,112,799,"Adavi","Kogi","North-Central",202194
13,96,1027,2032,90,11,96,12,36,96,38,22,96,23,740,96,771,1117,96,1164,"Ado-Ekiti","Ekiti","Southwest",308621
14,140,2108,1915,113,27,140,20,45,140,33,28,140,20,546,140,390,1158,140,828,"Ado-Odo/Ota","Ogun","Southwest",526565
15,112,1084,1333,95,18,112,17,53,112,48,31,112,28,853,112,762,718,112,642,"Afijio","Oyo","Southwest",134173
16,43,1425,535,30,15,43,35,17,43,40,17,43,40,192,43,447,297,43,691,"Afikpo North","Ebonyi","Southeast",156611
17,65,724,610,62,4,65,7,24,65,37,4,65,7,0,65,0,319,65,491,"Afikpo South","Ebonyi","Southeast",157072
18,167,807,1763,158,25,167,15,22,167,14,26,167,16,551,167,330,704,167,422,"Agaie","Niger","North-Central",132907
19,102,777,943,81,3,102,3,21,102,21,2,102,2,307,102,301,772,102,757,"Agatu","Benue","North-Central",115523
20,66,3325,342,60,17,66,26,11,66,17,0,66,0,3184,66,4825,160,66,243,"Agwara","Niger","North-Central",57413
21,88,5270,2121,77,70,88,80,78,88,89,62,88,71,930,88,1057,1032,88,1173,"Agege","Lagos","Southwest",459939
22,159,2398,1898,147,17,159,11,103,159,65,80,159,51,940,159,592,962,159,606,"Aguata","Anambra","Southeast",370172
23,95,940,1170,84,18,95,19,61,95,65,49,95,52,357,95,376,560,95,590,"Ahiazu-Mbaise","Imo","Southeast",170902
24,68,1477,706,51,28,68,42,35,68,52,28,68,42,3270,68,4809,395,68,581,"Ahoada East","Rivers","South-South",166747
25,97,1606,637,74,25,97,26,20,97,21,16,97,17,1426,97,1471,327,97,338,"Ahoada West","Rivers","South-South",249425
26,65,597,633,65,9,65,14,38,65,59,8,65,13,0,65,0,364,65,560,"Ajaokuta","Kogi","North-Central",122321
27,154,1493,1938,112,77,154,50,104,154,68,136,154,89,1431,154,930,660,154,429,"Ajeromi-Ifelodun","Lagos","Southwest",684105
28,101,1435,592,95,25,101,25,44,101,44,26,101,26,238,101,236,211,101,209,"Ajingi","Kano","Northwest",174137
29,59,584,910,54,6,59,11,27,59,46,9,59,16,327,59,555,548,59,929,"Akamkpa","Cross River","South-South",151125
30,118,2709,1075,109,25,118,22,30,118,26,19,118,17,566,118,480,701,118,595,"Akinyele","Oyo","Southwest",211359
31,251,1453,2418,251,47,251,19,135,251,54,35,251,14,2,251,1,977,251,390,"Akko","Gombe","Northeast",337853
32,66,1630,763,60,7,66,11,13,66,20,31,66,47,1331,66,2017,579,66,878,"Akoko-Edo","Edo","South-South",262110
33,114,1410,1575,112,27,114,24,78,114,69,47,114,42,0,114,0,960,114,843,"Akoko North East","Ondo","Southwest",175409
34,96,1059,1470,83,0,96,0,48,96,50,53,96,56,0,96,0,0,96,0,"Akoko North West","Ondo","Southwest",213792
35,88,1014,1495,84,17,88,20,45,88,52,33,88,38,666,88,757,873,88,993,"Akoko South West","Ondo","Southwest",229486
36,40,504,509,39,8,40,20,23,40,58,14,40,35,400,40,1000,309,40,773,"Akoko South East","Ondo","Southwest",82426
37,30,1295,506,29,12,30,40,20,30,67,7,30,24,127,30,424,226,30,754,"Akpabuyo","Cross River","South-South",271395
38,30,260,267,30,7,30,24,9,30,30,8,30,27,0,30,0,120,30,400,"Akuku Toru","Rivers","South-South",156006
39,68,757,1120,61,12,68,18,30,68,45,16,68,24,642,68,945,566,68,833,"Akure North","Ondo","Southwest",131587
40,133,4947,3384,124,36,133,28,68,133,52,61,133,46,3752,133,2822,1774,133,1334,"Akure South","Ondo","Southwest",353211
41,102,764,1368,102,13,102,13,22,102,22,1,102,1,5,102,5,930,102,912,"Akwanga","Nasarawa","North-Central",113430
42,121,2601,970,116,48,121,40,47,121,39,13,121,11,1427,121,1180,290,121,240,"Albasu","Kano","Northwest",190153
43,37,391,294,31,12,37,33,25,37,68,10,37,28,216,37,584,170,37,460,"Aliero","Kebbi","Northwest",65972
44,159,3842,4037,116,105,159,67,132,159,84,98,159,62,2449,159,1541,1285,159,809,"Alimosho","Lagos","Southwest",1277714
45,115,455,620,86,24,115,21,38,115,34,2,115,2,239,115,208,375,115,327,"Alkaleri","Bauchi","Northeast",329424
46,103,1142,1276,73,64,103,63,84,103,82,53,103,52,967,103,939,365,103,355,"Amuwo-Odofin","Lagos","Southwest",318166
47,28,267,281,27,9,28,33,19,28,68,2,28,8,57,28,204,146,28,522,"Anambra East","Anambra","Southeast",153331
48,77,639,417,76,18,77,24,21,77,28,0,77,0,0,77,0,233,77,303,"Anambra West","Anambra","Southeast",167416
49,77,1920,1012,73,24,77,32,51,77,67,41,77,54,433,77,563,441,77,573,"Anaocha","Anambra","Southeast",285002
50,90,2514,516,69,1,90,2,8,90,9,1,90,2,3164,90,3516,302,90,336,"Andoni","Rivers","South-South",211009
51,56,1518,575,56,8,56,15,18,56,33,4,56,8,0,56,0,450,56,804,"Aninri","Enugu","Southeast",133723
52,80,897,1445,74,4,80,5,48,80,60,37,80,47,626,80,783,835,80,1044,"Aniocha North","Delta","South-South",104711
53,113,3121,1509,109,13,113,12,60,113,54,11,113,10,800,113,708,901,113,798,"Aniocha South","Delta","South-South",140604
54,67,3287,378,64,15,67,23,22,67,33,3,67,5,240,67,359,133,67,199,"Anka","Zamfara","Northwest",142280
55,126,751,1176,101,6,126,5,28,126,23,6,126,5,384,126,305,892,126,708,"Ankpa","Kogi","North-Central",267353
56,153,3079,1261,124,1,153,1,29,153,19,13,153,9,348,153,228,952,153,623,"Apa","Benue","North-Central",96765
57,105,1094,1400,85,43,105,41,79,105,76,76,105,73,960,105,915,563,105,537,"Apapa","Lagos","Southwest",217362
58,109,891,744,109,24,109,23,22,109,21,6,109,6,0,109,0,507,109,466,"Ado","Benue","North-Central",178882
59,42,191,385,35,18,42,43,15,42,36,0,42,0,153,42,365,239,42,570,"Ardo-Kola","Taraba","Northeast",86921
60,104,2605,1082,100,47,104,46,53,104,51,5,104,5,496,104,477,526,104,506,"Arewa-Dandi","Kebbi","Northwest",184030
61,77,659,1337,71,43,77,56,46,77,60,15,77,20,563,77,732,876,77,1138,"Argungu","Kebbi","Northwest",195484
62,45,444,553,42,7,45,16,20,45,45,20,45,45,177,45,394,328,45,729,"Arochukwu","Abia","Southeast",170206
63,190,867,2244,186,92,190,49,62,190,33,24,190,13,0,190,0,1303,190,686,"Asa","Kwara","North-Central",126435
64,52,3336,351,32,13,52,25,12,52,24,19,52,37,3205,52,6164,189,52,364,"Asari Toru","Rivers","South-South",220100
65,83,599,1333,67,1,83,2,16,83,20,2,83,3,358,83,432,1029,83,1240,"Askira/Uba","Borno","Northeast",138091
66,72,680,448,72,10,72,14,23,72,32,3,72,5,0,72,0,252,72,350,"Atakunmosa East","Osun","Southwest",76197
67,79,2661,511,69,9,79,12,28,79,36,21,79,27,334,79,423,308,79,390,"Atakunmosa West","Osun","Southwest",68643
68,123,1067,1798,97,18,123,15,48,123,40,41,123,34,821,123,668,984,123,800,"Atiba","Oyo","Southwest",169702
69,82,712,880,75,5,82,7,24,82,30,13,82,16,550,82,671,590,82,720,"Atisbo","Oyo","Southwest",110792
70,62,422,539,59,12,62,20,16,62,26,10,62,17,0,62,0,242,62,391,"Augie","Kebbi","Northwest",117287
71,58,305,543,53,18,58,32,31,58,54,7,58,13,288,58,497,267,58,461,"Auyo","Jigawa","Northwest",132001
72,104,671,997,95,17,104,17,18,104,18,1,104,1,502,104,483,469,104,451,"Awe","Nasarawa","North-Central",112574
73,91,3633,895,82,7,91,8,28,91,31,26,91,29,1240,91,1363,457,91,503,"Awgu","Enugu","Southeast",198134
74,58,555,556,57,20,58,35,29,58,50,8,58,14,0,58,0,229,58,395,"Awka North","Anambra","Southeast",112608
75,76,3836,1131,74,48,76,64,59,76,78,38,76,50,1528,76,2011,504,76,664,"Awka South","Anambra","Southeast",189049
76,77,2591,513,63,3,77,4,31,77,41,0,77,0,207,77,269,260,77,338,"Ayamelum","Anambra","Southeast",158410
77,103,927,1024,94,23,103,23,41,103,40,30,103,30,792,103,769,688,103,668,"Ayedaade","Osun","Southwest",150392
78,63,626,576,54,10,63,16,29,63,47,15,63,24,480,63,762,378,63,600,"Ayedire","Osun","Southwest",75846
79,78,2406,430,67,40,78,52,28,78,36,5,78,7,2290,78,2936,209,78,268,"Babura","Jigawa","Northwest",208101
80,118,1476,1844,88,70,118,60,81,118,69,56,118,48,997,118,845,697,118,591,"Badagry","Lagos","Southwest",241093
81,46,11255,413,44,5,46,11,15,46,33,6,46,14,214,46,466,153,46,333,"Bagudo","Kebbi","Northwest",237817
82,57,354,695,49,15,57,27,26,57,46,9,57,16,280,57,492,245,57,430,"Bagwai","Kano","Northwest",162847
83,3,28,38,3,3,3,100,3,3,100,3,3,100,20,3,667,4,3,134,"Bakassi","Cross River","South-South",32385
84,152,1213,1239,127,14,152,10,25,152,17,3,152,2,1733,152,1141,931,152,613,"Bokkos","Plateau","North-Central",178454
