"lga_id","num_existing_schools","num_existing_classrooms","total_teachers","primary_js","improved_functional_water_numerator","improved_functional_water_denominator","improved_functional_water_percent","improved_sanitation_numerator","improved_sanitation_denominator","improved_sanitation_percent","phcn_electricity_numerator","phcn_electricity_denominator","phcn_electricity_percent","num_classrm_w_chalkboard_numerator","num_classrm_w_chalkboard_denominator","num_classrm_w_chalkboard_percent","num_tchrs_with_nce_numerator","num_tchrs_with_nce_denominator","num_tchrs_with_nce_percent","lga","state","zone","pop_2006"
85,105,3539,754,77,37,105,36,52,105,50,22,105,21,2483,105,2365,380,105,362,"Bakori","Katsina","Northwest",149371
86,65,297,337,49,9,65,14,35,65,54,11,65,17,237,65,365,175,65,270,"Bakura","Zamfara","Northwest",186905
87,163,1128,1773,162,27,163,17,43,163,27,1,163,1,0,163,0,760,163,467,"Balanga","Gombe","Northeast",212549
88,110,609,955,109,27,110,25,33,110,30,0,110,0,0,110,0,590,110,537,"Bali","Taraba","Northeast",208935
89,57,429,848,47,26,57,46,33,57,58,5,57,9,350,57,615,539,57,946,"Bama","Borno","Northeast",269986
90,57,391,1132,45,31,57,55,29,57,51,10,57,18,356,57,625,714,57,1253,"Barde","Yobe","Northeast",139782
91,173,5094,1342,162,26,173,16,32,173,19,28,173,17,1574,173,910,864,173,500,"Barkin-Ladi","Plateau","North-Central",175267
92,162,946,1129,150,39,162,25,70,162,44,2,162,2,337,162,209,780,162,482,"Baruten","Kwara","North-Central",209459
93,37,200,178,35,2,37,6,6,37,17,0,37,0,157,37,425,165,37,446,"Bassa","Kogi","North-Central",139993
94,132,5898,1158,124,15,132,12,26,132,20,28,132,22,2522,132,1911,728,132,552,"Bassa","Plateau","North-Central",186859
95,69,561,620,68,3,69,5,50,69,73,10,69,15,515,69,747,351,69,509,"Batagarawa","Katsina","Northwest",184575
96,124,666,691,104,9,124,8,63,124,51,5,124,5,428,124,346,258,124,209,"Batsari","Katsina","Northwest",208978
97,92,1127,2592,64,26,92,29,64,92,70,42,92,46,1841,92,2002,1589,92,1728,"Bauchi","Bauchi","Northeast",493810
98,76,448,569,70,15,76,20,34,76,45,11,76,15,1316,76,1732,173,76,228,"Baure","Katsina","Northwest",197425
99,47,201,358,39,9,47,20,24,47,52,3,47,7,147,47,313,219,47,466,"Bayo","Borno","Northeast",78978
100,119,1633,855,103,10,119,9,37,119,32,29,119,25,385,119,324,380,119,320,"Bebeji","Kano","Northwest",188859
101,94,840,1037,91,17,94,19,42,94,45,13,94,14,432,94,460,610,94,649,"Bekwara","Cross River","South-South",105822
102,116,1004,1165,108,13,116,12,59,116,51,34,116,30,417,116,360,723,116,624,"Bende","Abia","Southeast",192111
103,83,688,1179,74,7,83,9,26,83,32,11,83,14,225,83,272,670,83,808,"Biase","Cross River","South-South",169183
104,167,2041,1320,144,34,167,21,85,167,51,52,167,32,1751,167,1049,682,167,409,"Bichi","Kano","Northwest",277099
105,78,771,1969,67,42,78,54,50,78,65,47,78,61,556,78,713,1066,78,1367,"Bida","Niger","North-Central",188181
106,69,401,728,63,12,69,18,21,69,31,3,69,5,250,69,363,392,69,569,"Billiri","Gombe","Northeast",202144
107,54,1336,276,49,18,54,34,41,54,76,2,54,4,212,54,393,109,54,202,"Bindawa","Katsina","Northwest",152356
108,56,345,238,56,8,56,15,5,56,9,1,56,2,0,56,0,38,56,68,"Binji","Sokoto","Northwest",105027
109,70,398,400,61,44,70,63,44,70,63,4,70,6,363,70,519,195,70,279,"Biriniwa","Jigawa","Northwest",142329
110,169,1063,1123,166,31,169,19,75,169,45,18,169,11,0,169,0,644,169,382,"Birnin Gwari","Kaduna","Northwest",252363
111,98,1892,1613,89,33,98,34,58,98,60,48,98,49,757,98,773,709,98,724,"Birnin-Kebbi","Kebbi","Northwest",268420
112,24,176,173,18,8,24,34,19,24,80,2,24,9,156,24,650,62,24,259,"Birnin-Kudu","Jigawa","Northwest",313373
113,78,378,565,73,12,78,16,22,78,29,1,78,2,203,78,261,202,78,259,"Birnin-Magaji","Zamfara","Northwest",178619
114,43,275,979,29,12,43,28,19,43,45,15,43,35,232,43,540,620,43,1442,"Biu","Borno","Northeast",176072
115,72,517,828,70,16,72,23,24,72,34,19,72,27,359,72,499,315,72,438,"Bodinga","Sokoto","Northwest",175406
116,102,519,686,82,41,102,41,15,102,15,2,102,2,295,102,290,567,102,556,"Bogoro","Bauchi","Northeast",84215
117,125,1315,1199,124,29,125,24,34,125,28,1,125,1,0,125,0,849,125,680,"Boki","Cross River","South-South",186141
118,47,2426,247,46,13,47,28,33,47,71,17,47,37,386,47,822,140,47,298,"Boluwaduro","Osun","Southwest",70775
119,41,440,525,33,10,41,25,17,41,42,19,41,47,223,41,544,214,41,522,"Bomadi","Delta","South-South",86644
120,30,215,254,23,1,30,4,6,30,20,13,30,44,130,30,434,125,30,417,"Bonny","Rivers","South-South",215358
121,137,3993,1627,122,29,137,22,30,137,22,35,137,26,729,137,533,825,137,603,"Borgu","Niger","North-Central",171965
122,90,3784,833,76,9,90,10,55,90,62,18,90,20,3395,90,3773,516,90,574,"Boripe","Osun","Southwest",139358
123,57,309,362,53,15,57,27,22,57,39,1,57,2,220,57,386,167,57,293,"Bosari","Yobe","Northeast",109124
124,79,606,1701,71,17,79,22,26,79,33,19,79,25,396,79,502,1010,79,1279,"Bosso","Niger","North-Central",147359
125,57,459,626,56,4,57,8,15,57,27,1,57,2,4,57,8,272,57,478,"Brass","Bayelsa","South-South",185049
127,81,433,505,80,16,81,20,21,81,26,1,81,2,2,81,3,256,81,317,"Bukkuyum","Zamfara","Northwest",211633
128,225,1558,1779,180,25,225,12,70,225,32,10,225,5,661,225,294,1249,225,556,"Buruku","Benue","North-Central",203721
129,101,608,1369,89,20,101,20,39,101,39,13,101,13,457,101,453,671,101,665,"Bungudu","Zamfara","Northwest",257917
130,136,652,872,127,34,136,25,61,136,45,25,136,19,432,136,318,386,136,284,"Bunkure","Kano","Northwest",170891
131,82,545,564,74,22,82,27,29,82,36,14,82,18,0,82,0,284,82,347,"Bunza","Kebbi","Northwest",121461
132,79,762,814,77,6,79,8,14,79,18,17,79,22,413,79,523,408,79,517,"Burutu","Delta","South-South",209666
133,96,1107,1980,94,26,96,28,78,96,82,43,96,45,0,96,0,1312,96,1367,"Bwari","FCT","North-Central",227216
134,99,2537,2994,94,38,99,39,83,99,84,73,99,74,1202,99,1215,1002,99,1013,"Calabar-Municipal","Cross River","South-South",179392
135,49,724,1341,47,32,49,66,41,49,84,40,49,82,507,49,1035,431,49,880,"Calabar South","Cross River","South-South",191630
136,129,1671,4128,114,41,129,32,100,129,78,99,129,77,1297,129,1006,2553,129,1980,"Chanchaga","Niger","North-Central",201429
137,64,421,472,60,9,64,15,43,64,68,8,64,13,352,64,550,191,64,299,"Charanchi","Katsina","Northwest",137613
138,55,17233,767,53,0,55,0,4,55,8,1,55,2,6128,55,11142,391,55,711,"Chibok","Borno","Northeast",66105
139,250,1575,2517,218,46,250,19,74,250,30,30,250,12,1080,250,432,1487,250,595,"Chikun","Kaduna","Northwest",368250
140,74,1676,989,61,46,74,63,59,74,80,20,74,28,494,74,668,352,74,476,"Dala","Kano","Northwest",418777
141,20,87,129,20,3,20,15,3,20,15,7,20,35,87,20,435,62,20,310,"Damaturu","Yobe","Northeast",88014
142,111,1468,644,94,19,111,18,59,111,54,34,111,31,406,111,366,370,111,334,"Damban","Bauchi","Northeast",150922
143,137,4721,1379,118,33,137,25,57,137,42,12,137,9,1554,137,1135,460,137,336,"Dambatta","Kano","Northwest",207968
144,114,367,667,110,1,114,1,14,114,13,9,114,8,2296,114,2015,335,114,294,"Damboa","Borno","Northeast",231573
145,46,269,368,45,11,46,24,13,46,29,5,46,11,215,46,468,174,46,379,"Dandi","Kebbi","Northwest",144273
146,119,6715,835,98,11,119,10,43,119,37,30,119,26,1411,119,1186,261,119,220,"Dandume","Katsina","Northwest",145739
147,33,230,447,21,10,33,31,8,33,25,10,33,31,160,33,485,161,33,488,"Dange/shuni","Sokoto","Northwest",194546
148,89,477,460,82,13,89,15,58,89,66,11,89,13,378,89,425,236,89,266,"Danja","Katsina","Northwest",125703
149,108,2576,635,98,26,108,25,53,108,50,14,108,13,5461,108,5057,292,108,271,"Dan-Musa","Katsina","Northwest",113691
150,59,1334,382,49,8,59,14,17,59,29,6,59,11,1257,59,2131,187,59,317,"Darazo","Bauchi","Northeast",251597
151,26,131,146,15,11,26,43,15,26,58,2,26,8,1091,26,4197,104,26,400,"Dass","Bauchi","Northeast",89943
152,71,596,1081,65,10,71,15,64,71,91,24,71,34,532,71,750,566,71,798,"Daura","Katsina","Northwest",219721
153,183,974,1690,169,39,183,22,64,183,35,50,183,28,571,183,313,648,183,355,"Dawakin-Kudu","Kano","Northwest",225389
154,112,816,1203,98,32,112,29,78,112,70,14,112,13,549,112,491,614,112,549,"Dawakin-Tofa","Kano","Northwest",247875
155,53,1347,485,32,9,53,17,12,53,23,12,53,23,195,53,368,227,53,429,"Degema","Rivers","South-South",249773
156,157,3953,1566,138,4,157,3,47,157,30,13,157,9,455,157,290,1202,157,766,"Dekina","Kogi","North-Central",260312
157,88,474,1060,73,13,88,15,17,88,20,7,88,8,270,88,307,600,88,682,"Demsa","Adamawa","Northeast",180251
158,31,172,354,30,8,31,26,6,31,20,0,31,0,125,31,404,191,31,617,"Dikwa","Borno","Northeast",105909
159,127,455,720,117,5,127,4,25,127,20,21,127,17,186,127,147,243,127,192,"Doguwa","Kano","Northwest",151181
160,82,1975,1369,62,18,82,22,30,82,37,6,82,8,445,82,543,829,82,1011,"Doma","Nasarawa","North-Central",139607
161,19,157,225,16,1,19,6,7,19,37,1,19,6,78,19,411,127,19,669,"Donga","Taraba","Northeast",134111
162,150,698,1067,149,16,150,11,54,150,36,23,150,16,0,150,0,482,150,322,"Dukku","Gombe","Northeast",207190
163,51,780,899,50,17,51,34,38,51,75,25,51,50,165,51,324,374,51,734,"Dunukofia","Anambra","Southeast",96382
164,45,176,202,43,13,45,29,14,45,32,4,45,9,162,45,360,81,45,180,"Dutse","Jigawa","Northwest",246143
165,32,180,245,31,7,32,22,25,32,79,2,32,7,151,32,472,101,32,316,"Dutsi","Katsina","Northwest",120023
166,63,1476,688,59,10,63,16,52,63,83,9,63,15,384,63,610,473,63,751,"Dutsin-Ma","Katsina","Northwest",169671
167,20,3157,143,18,1,20,5,5,20,25,3,20,15,58,20,290,77,20,385,"Eastern-Obolo","Akwa Ibom","South-South",60543
168,142,2329,1947,107,50,142,36,29,142,21,28,142,20,575,142,405,1062,142,748,"Ebonyi","Ebonyi","Southeast",126837
169,98,1377,695,94,11,98,12,23,98,24,1,98,2,319,98,326,370,98,378,"Edati","Niger","North-Central",160321
170,57,581,796,42,16,57,29,30,57,53,20,57,36,518,57,909,462,57,811,"Ede North","Osun","Southwest",83831
171,96,901,920,96,33,96,35,47,96,49,21,96,22,0,96,0,487,96,508,"Ede South","Osun","Southwest",76035
172,191,2012,1440,178,13,191,7,22,191,12,42,191,22,751,191,394,890,191,466,"Edu","Kwara","North-Central",201469
173,90,2892,1449,58,26,90,29,50,90,56,47,90,53,525,90,584,745,90,828,"Ife-Central","Osun","Southwest",167254
174,98,792,1127,77,10,98,11,29,98,30,17,98,18,2622,98,2676,776,98,792,"Ife-East","Osun","Southwest",188087
175,88,739,553,79,7,88,8,29,88,33,16,88,19,573,88,652,411,88,468,"Ife-North","Osun","Southwest",153694
176,144,7931,896,122,3,144,3,31,144,22,31,144,22,2705,144,1879,462,144,321,"Ife-South","Osun","Southwest",135338
177,40,426,642,36,2,40,5,24,40,60,13,40,33,342,40,855,423,40,1058,"Efon","Ekiti","Southwest",86941
178,95,932,1102,95,5,95,6,40,95,43,14,95,15,0,95,0,965,95,1016,"Egbado North","Ogun","Southwest",181826
179,79,766,1268,70,18,79,23,41,79,52,27,79,35,313,79,397,846,79,1071,"Egbado South","Ogun","Southwest",168850
180,97,765,1505,73,14,97,15,46,97,48,35,97,37,603,97,622,733,97,756,"Egbeda","Oyo","Southwest",281573
181,97,3281,939,82,20,97,21,60,97,62,32,97,33,2708,97,2792,527,97,544,"Egbedore","Osun","Southwest",74435
182,61,612,1280,49,37,61,61,49,61,81,35,61,58,515,61,845,680,61,1115,"Egor","Edo","South-South",339899
183,94,805,964,88,22,94,24,56,94,60,19,94,21,336,94,358,485,94,516,"Ehime-Mbano","Imo","Southeast",130931
184,133,1190,1198,101,27,133,21,69,133,52,57,133,43,953,133,717,722,133,543,"Ejigbo","Osun","Southwest",132641
185,65,405,631,56,4,65,7,5,65,8,5,65,8,198,65,305,317,65,488,"Ekeremor","Bayelsa","South-South",270257
186,52,909,1154,49,25,52,49,45,52,87,24,52,47,638,52,1227,567,52,1091,"Eket","Akwa Ibom","South-South",172557
187,58,454,548,40,22,58,38,17,58,30,11,58,19,414,58,714,322,58,556,"Ekiti","Kwara","North-Central",54850
188,90,1090,1161,86,10,90,12,44,90,49,14,90,16,0,90,0,809,90,899,"Ekiti East","Ekiti","Southwest",137955
189,87,815,1200,77,11,87,13,35,87,41,19,87,22,393,87,452,817,87,940,"Ekiti South-West","Ekiti","Southwest",165277
190,102,1061,1489,83,17,102,17,50,102,50,36,102,36,749,102,735,1023,102,1003,"Ekiti West","Ekiti","Southwest",179892
191,87,1046,1116,81,33,87,38,72,87,83,54,87,63,332,87,382,504,87,580,"Ekwusigo","Anambra","Southeast",158231
192,42,406,660,32,24,42,58,24,42,58,23,42,55,319,42,760,232,42,553,"Eleme","Rivers","South-South",190884
193,48,366,623,28,19,48,40,20,48,42,16,48,34,236,48,492,181,48,378,"Emuoha","Rivers","South-South",201901
194,59,577,799,57,6,59,11,18,59,31,15,59,26,376,59,638,466,59,790,"Emure","Ekiti","Southwest",93884
195,81,4813,1396,79,8,81,10,25,81,31,33,81,41,293,81,362,804,81,993,"Enugu East","Enugu","Southeast",279089
196,110,19156,1980,98,27,110,25,72,110,66,81,110,74,7691,110,6992,801,110,729,"Enugu North","Enugu","Southeast",244852
197,76,984,1816,71,6,76,8,46,76,61,44,76,58,404,76,532,841,76,1107,"Enugu South","Enugu","Southeast",198723
198,106,960,1201,63,72,106,68,55,106,52,46,106,44,832,106,785,455,106,430,"Epe","Lagos","Southwest",181409
199,76,2781,859,61,11,76,15,45,76,60,20,76,27,2380,76,3132,572,76,753,"Esan Central","Edo","South-South",105310
200,68,735,932,55,12,68,18,41,68,61,29,68,43,384,68,565,576,68,848,"Esan North-East","Edo","South-South",119346
201,92,1074,947,92,3,92,4,38,92,42,9,92,10,0,92,0,637,92,693,"Esan South-East","Edo","South-South",167721
202,51,497,620,48,4,51,8,19,51,38,14,51,28,264,51,518,479,51,940,"Esan West","Edo","South-South",125842
203,91,1739,579,83,6,91,7,21,91,24,9,91,10,370,91,407,390,91,429,"Ese-Odo","Ondo","Southwest",154978
204,24,339,332,21,6,24,25,17,24,71,11,24,46,182,24,759,227,24,946,"Esit-Eket","Akwa Ibom","South-South",63701
205,66,1087,1078,65,12,66,19,51,66,78,14,66,22,562,66,852,649,66,984,"Essien Udim","Akwa Ibom","South-South",192668
206,92,655,675,88,13,92,15,39,92,43,12,92,14,224,92,244,378,92,411,"Etche","Rivers","South-South",249454
207,158,1628,2563,154,59,158,38,87,158,56,63,158,40,993,158,629,1106,158,700,"Ethiope East","Delta","South-South",200792
208,109,996,1411,100,21,109,20,52,109,48,22,109,21,13,109,12,826,109,758,"Ethiope West","Delta","South-South",203592
209,56,582,746,54,14,56,25,34,56,61,14,56,25,174,56,311,498,56,890,"Etim-Eko","Akwa Ibom","South-South",105418
210,35,425,427,31,12,35,35,22,35,63,10,35,29,289,35,826,265,35,758,"Etinan","Akwa Ibom","South-South",169284
211,43,548,703,40,20,43,47,40,43,94,34,43,80,0,43,0,292,43,680,"Eti-osa","Lagos","Southwest",287785
212,42,295,394,38,4,42,10,15,42,36,18,42,43,176,42,420,273,42,650,"Etsako-Central","Edo","South-South",94575
213,76,710,836,52,10,76,14,25,76,33,21,76,28,297,76,391,555,76,731,"Etsako East","Edo","South-South",145996
214,81,986,1241,80,13,81,17,33,81,41,22,81,28,0,81,0,716,81,884,"Etsako West","Edo","South-South",197609
215,39,441,645,36,13,39,34,14,39,36,6,39,16,252,39,647,379,39,972,"Etung","Cross River","South-South",80196
216,97,689,1031,87,26,97,27,52,97,54,54,97,56,318,97,328,684,97,706,"Ewekoro","Ogun","Southwest",55156
217,54,2395,275,54,2,54,4,12,54,23,19,54,36,45,54,84,210,54,389,"Ezeagu","Enugu","Southeast",169718
218,92,2929,1084,84,28,92,31,60,92,66,13,92,15,1314,92,1429,519,92,565,"Ezinihitte","Imo","Southeast",165593
219,89,5790,1253,81,42,89,48,21,89,24,15,89,17,269,89,303,692,89,778,"Ezza North","Ebonyi","Southeast",145619
220,122,1132,1380,101,69,122,57,45,122,37,22,122,19,362,122,297,976,122,800,"Ezza South","Ebonyi","Southeast",133205
221,14,228,310,11,10,14,72,10,14,72,7,14,50,116,14,829,175,14,1250,"Fagge","Kano","Northwest",198828
