breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Poorly Constructed,,AYETORO GBEDE,,,Stand Alone Water Point,1342179715856.jpg,No,7.98429782 5.99350556 465.5 5.0,False,Ijumu,320,320,320.0,Manual,No,1342179715856.jpg,water,Kogi,kogi_ijumu,b54c94ac-cf47-49b8-9607-56e8935f64b9,AYETORO ILUHAGBA 1,Unimproved Well,water_source,unprotected_dug_well,b54c94ac-cf47-49b8-9607-56e8935f64b9,North-Central
Functional,,Ekinrin Adde,,,Stand Alone Water Point,1342100418139.jpg,Yes,7.82914539 5.85774228 534.4000244140625 5.0,True,Ijumu,320,320,320.0,,No,1342100418139.jpg,water,Kogi,kogi_ijumu,6df866df-4651-45d3-8ef8-babadd9329a4,Ekinrin Adde,Borehole,water_source,borehole_tube_well,6df866df-4651-45d3-8ef8-babadd9329a4,North-Central
Functional,,Egbeda egga,,,Stand Alone Water Point,1342346590758.jpg,Yes,7.83545756 5.87611944 536.7999877929688 5.0,True,Ijumu,320,320,320.0,Hand Pump,No,1342346590758.jpg,water,Kogi,kogi_ijumu,8f939651-55fa-4314-a2aa-3b7e795790ae,Egbeda egga,Borehole,water_source,borehole_tube_well,8f939651-55fa-4314-a2aa-3b7e795790ae,North-Central
Functional,,Iyara,,,Stand Alone Water Point,1342449761571.jpg,Yes,7.84282684 5.95239433 497.1000061035156 5.0,True,Ijumu,320,320,320.0,Hand Pump,No,1342449761571.jpg,water,Kogi,kogi_ijumu,84467ec3-c460-44ed-96c1-0a888bd9d173,Iyara,Borehole,water_source,borehole_tube_well,84467ec3-c460-44ed-96c1-0a888bd9d173,North-Central
Poorly Constructed,,AYERE,,,"Water Scheme, Source within 100m",1342269427362.jpg,No,7.7018818 5.97177101 399.0 5.0,True,Ijumu,320,320,320.0,Tap (unknown lift),No,1342269427362.jpg,water,Kogi,kogi_ijumu,ca04d9a1-79ae-4518-901c-36ce183711e1,AYERE/ARIMA,Tap,outlet,,ca04d9a1-79ae-4518-901c-36ce183711e1,North-Central
Poor Water Quality,,Ekinrin adde,,,Stand Alone Water Point,1342184653657.jpg,No,7.83404437 5.86781521 504.5 5.0,True,Ijumu,320,320,320.0,Hand Pump,No,1342184653657.jpg,water,Kogi,kogi_ijumu,90bf2986-9e0b-43ee-af10-a4684daad30a,Ekinrin adde,Borehole,water_source,borehole_tube_well,90bf2986-9e0b-43ee-af10-a4684daad30a,North-Central
Functional,,Agrigbon Quarters,,,Stand Alone Water Point,1342291406962.jpg,Yes,7.97558418 5.99235748 461.0 5.0,False,Ijumu,320,320,320.0,,No,1342291406962.jpg,water,Kogi,kogi_ijumu,ddacb6cf-ee59-464e-8b51-d28c7889b5f9,Ayetoro Agrigbon 2,Unimproved Well,water_source,protected_dug_well,ddacb6cf-ee59-464e-8b51-d28c7889b5f9,North-Central
Functional,,Ilopa,,,Stand Alone Water Point,1342509424259.jpg,Yes,7.84025149 5.9841456 490.29998779296875 5.0,False,Ijumu,320,320,320.0,Manual,No,1342509424259.jpg,water,Kogi,kogi_ijumu,d1ac16f7-0363-4bd6-ad3d-4bb0eacee7e2,Iyara,Unimproved Well,water_source,protected_dug_well,d1ac16f7-0363-4bd6-ad3d-4bb0eacee7e2,North-Central
Functional,,Ekinrin adde,,,Stand Alone Water Point,1342176788894.jpg,Yes,7.82932068 5.86207278 527.5 5.0,True,Ijumu,320,320,320.0,Manual,No,1342176788894.jpg,water,Kogi,kogi_ijumu,75e13e9c-1e73-401a-b757-64383286deef,Ekinrin adde,Borehole,water_source,borehole_tube_well,75e13e9c-1e73-401a-b757-64383286deef,North-Central
Mechanical Issue,,Egbeda egga,,,Stand Alone Water Point,1342342978045.jpg,No,7.83233654 5.87935436 533.0 5.0,True,Ijumu,320,320,320.0,Hand Pump,No,1342342978045.jpg,water,Kogi,kogi_ijumu,f84a8c3a-8cc7-45fa-8b7e-40bc5979715f,Egbeda egga,Borehole,water_source,borehole_tube_well,f84a8c3a-8cc7-45fa-8b7e-40bc5979715f,North-Central
Mechanical Issue,,Agirigbon,,,Stand Alone Water Point,1342008796767.jpg,No,7.93979533 6.04547581 553.7999877929688 5.0,True,Ijumu,320,320,320.0,Diesel,No,1342008796767.jpg,water,Kogi,kogi_ijumu,18d2239d-6ada-4177-8bcc-d85d8266692e,AIYETORO AGIRIGBON 2,Borehole,water_source,borehole_tube_well,18d2239d-6ada-4177-8bcc-d85d8266692e,North-Central
Poorly Constructed,,Iyara,,,Stand Alone Water Point,1342433309782.jpg,No,7.84687559 5.96168324 507.29998779296875 3.0,False,Ijumu,320,320,320.0,,No,1342433309782.jpg,water,Kogi,kogi_ijumu,332f00d5-15c0-4c78-8963-8223140066c2,Iyara,Unimproved Well,water_source,unprotected_dug_well,332f00d5-15c0-4c78-8963-8223140066c2,North-Central
Functional,,AYETORO GBEDE,,,Stand Alone Water Point,1342178563571.jpg,Yes,7.98563723 5.99414727 478.0 5.0,False,Ijumu,320,320,320.0,Manual,No,1342178563571.jpg,water,Kogi,kogi_ijumu,ae238fdf-bc85-46b4-a6e8-4548c4711dc1,AYETORO ILUHAGBA 1,Unimproved Well,water_source,protected_dug_well,ae238fdf-bc85-46b4-a6e8-4548c4711dc1,North-Central
Functional,,Okun quarters,,,Stand Alone Water Point,1342424815788.jpg,Yes,7.83962233 5.91764205 500.6000061035156 5.0,False,Ijumu,320,320,320.0,Manual,No,1342424815788.jpg,water,Kogi,kogi_ijumu,11fe51c4-a8e7-4228-b040-c3eb49ecc84c,Iffe,Unimproved Well,water_source,protected_dug_well,11fe51c4-a8e7-4228-b040-c3eb49ecc84c,North-Central
Functional,,AYETORO GBEDE,,,Stand Alone Water Point,1342255971748.jpg,Yes,7.97839816 5.98857117 453.1000061035156 5.0,False,Ijumu,320,320,320.0,Manual,No,1342255971748.jpg,water,Kogi,kogi_ijumu,dc9f31dc-1889-46cf-a423-93dc432ff07a,AYETORO AGIRIGBON 2,Unimproved Well,water_source,protected_dug_well,dc9f31dc-1889-46cf-a423-93dc432ff07a,North-Central
