breakdown,classification,community,dist_euc,dist_fake,distribution_type,formhub_photo_id,functional,gps,is_improved,lga,lga_id,lga_orig,lga_valid,lift_mechanism,pay_for_water_yn,photo,sector,state,unique_lga,uuid,ward,water_point_type,water_scheme_type,water_source_type,x_id,zone
Functional,,Igbeti,,,Stand Alone Water Point,1343292554800.jpg,Yes,8.75581146 4.11567643 421.0 5.0,False,Olorunsogo,594,594,594.0,Manual,No,1343292554800.jpg,water,Oyo,oyo_olorunsogo,c66ad87b-3ab7-4e6d-b945-7a3ee7cc7400,09,Unimproved Well,water_source,protected_dug_well,c66ad87b-3ab7-4e6d-b945-7a3ee7cc7400,Southwest
Functional,,PAKOYI,,,Stand Alone Water Point,1343292192137.jpg,Yes,8.75032463 4.12764017 417.29998779296875 5.0,False,Olorunsogo,594,594,594.0,,No,1343292192137.jpg,water,Oyo,oyo_olorunsogo,b12456c1-70ef-4590-980b-ef293a725ece,8,Unimproved Well,water_source,protected_dug_well,b12456c1-70ef-4590-980b-ef293a725ece,Southwest
Functional,,PAKOYI,,,Stand Alone Water Point,1343290423060.jpg,Yes,8.75105462 4.12800283 404.0 5.0,False,Olorunsogo,594,594,594.0,,No,1343290423060.jpg,water,Oyo,oyo_olorunsogo,af95a678-0b12-4598-81ed-8f5db0c3a096,8,Unimproved Well,water_source,protected_dug_well,af95a678-0b12-4598-81ed-8f5db0c3a096,Southwest
Don't Know,,Ojude igbeti,,,"Water Scheme, Source further than 1km",1343294137528.jpg,No,8.74873209 4.12710822 398.70001220703125 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343294137528.jpg,water,Oyo,oyo_olorunsogo,1823c47b-f2a2-4d2b-8542-e67879f85656,08,Tap,outlet,,1823c47b-f2a2-4d2b-8542-e67879f85656,Southwest
Functional,,PAKOYI,,,Stand Alone Water Point,1343292836494.jpg,Yes,8.7491703 4.12678337 394.0 5.0,False,Olorunsogo,594,594,594.0,,No,1343292836494.jpg,water,Oyo,oyo_olorunsogo,75e48d4a-5ced-434a-bab4-26c17533b18a,8,Unimproved Well,water_source,protected_dug_well,75e48d4a-5ced-434a-bab4-26c17533b18a,Southwest
Functional,,GAA YAMUSAI,,,Stand Alone Water Point,1343398893416.jpg,Yes,8.80635733 4.03563876 409.70001220703125 5.0,True,Olorunsogo,594,594,594.0,Hand Pump,No,1343398893416.jpg,water,Oyo,oyo_olorunsogo,ebcffdcc-4bc4-4498-bd81-e8d856d24d1d,7,Borehole,water_source,borehole_tube_well,ebcffdcc-4bc4-4498-bd81-e8d856d24d1d,Southwest
Functional,,Igbeti,,,Stand Alone Water Point,1343291012411.jpg,Yes,8.75714945 4.11198791 443.5 5.0,False,Olorunsogo,594,594,594.0,Manual,No,1343291012411.jpg,water,Oyo,oyo_olorunsogo,281b04a1-a8fd-4a99-94b3-5b093c23c2a0,09,Unimproved Well,water_source,unprotected_dug_well,281b04a1-a8fd-4a99-94b3-5b093c23c2a0,Southwest
Mechanical Issue,,Ogundiran Igbeti,,,Stand Alone Water Point,1343387973546.jpg,No,8.85439392 4.15564656 451.1000061035156 5.0,False,Olorunsogo,594,594,594.0,Hand Pump,No,1343387973546.jpg,water,Oyo,oyo_olorunsogo,b2f77958-2ece-4c0e-8e32-d8c0ee51836f,07,Unimproved Well,water_source,protected_dug_well,b2f77958-2ece-4c0e-8e32-d8c0ee51836f,Southwest
Functional,,Dam rd,,,Stand Alone Water Point,1343347259883.jpg,Yes,8.75905201 4.14765488 389.79998779296875 5.0,True,Olorunsogo,594,594,594.0,Electric,No,1343347259883.jpg,water,Oyo,oyo_olorunsogo,a5c05c38-ed1f-4bcc-ad00-e3968903d8df,6,Borehole,water_source,borehole_tube_well,a5c05c38-ed1f-4bcc-ad00-e3968903d8df,Southwest
Functional,,Oke general hospital,,,"Water Scheme, Source within 100m",1343295659231.jpg,Yes,8.73558287 4.14745423 384.29998779296875 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343295659231.jpg,water,Oyo,oyo_olorunsogo,369c2228-8297-434f-9493-ecb757af619b,Aboke,Tap,outlet,,369c2228-8297-434f-9493-ecb757af619b,Southwest
Functional,,GBORO,,,Stand Alone Water Point,1343301854342.jpg,Yes,8.74696096 4.13070042 423.8999938964844 5.0,False,Olorunsogo,594,594,594.0,,No,1343301854342.jpg,water,Oyo,oyo_olorunsogo,438dfda8-b0de-4555-8eb0-68cf3f6ad723,4,Unimproved Well,water_source,protected_dug_well,438dfda8-b0de-4555-8eb0-68cf3f6ad723,Southwest
Functional,,Oke ibukun,,,Stand Alone Water Point,1343340226832.jpg,Yes,8.75851435 4.12322888 414.20001220703125 5.0,False,Olorunsogo,594,594,594.0,,No,1343340226832.jpg,water,Oyo,oyo_olorunsogo,62456356-bac6-4c16-8702-826f7fa480e6,6,Unimproved Well,water_source,unprotected_dug_well,62456356-bac6-4c16-8702-826f7fa480e6,Southwest
Mechanical Issue,,Babamogba,,,"Water Scheme, Source within 100m",1343384314719.jpg,No,8.75084241 4.12973881 408.0 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343384314719.jpg,water,Oyo,oyo_olorunsogo,9854750d-349b-4ac1-b45f-2f07e9c4e7da,06,Tap,outlet,,9854750d-349b-4ac1-b45f-2f07e9c4e7da,Southwest
Functional,,OJUDE,,,Stand Alone Water Point,1343294649425.jpg,Yes,8.74901824 4.12708857 397.5 5.0,False,Olorunsogo,594,594,594.0,,No,1343294649425.jpg,water,Oyo,oyo_olorunsogo,b66ab7e1-e031-4b23-ae3e-a5bc2c6cc255,8,Unimproved Well,water_source,protected_dug_well,b66ab7e1-e031-4b23-ae3e-a5bc2c6cc255,Southwest
Poor Water Quality,,Dauda Village Igbeti,,,Stand Alone Water Point,1343378354107.jpg,No,8.81643188 4.16584483 450.0 5.0,False,Olorunsogo,594,594,594.0,,No,1343378354107.jpg,water,Oyo,oyo_olorunsogo,03bc4082-0eec-442c-b1df-f08c7ea3a8ed,07,Unimproved Well,water_source,protected_dug_well,03bc4082-0eec-442c-b1df-f08c7ea3a8ed,Southwest
Mechanical Issue,,Bonni area,,,"Water Scheme, Source within 100m",1343311721989.jpg,No,8.76054247 4.12914079 413.8999938964844 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343311721989.jpg,water,Oyo,oyo_olorunsogo,29662cff-09eb-4ae9-913f-a84f37704cdf,Agoro,Tap,outlet,,29662cff-09eb-4ae9-913f-a84f37704cdf,Southwest
Functional,,"Oke-Ibukun, Igbeti",,,"Water Scheme, Source within 100m",1343297528012.jpg,Yes,8.75599289 4.12438015 428.3999938964844 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343297528012.jpg,water,Oyo,oyo_olorunsogo,26553676-97d1-4435-afd8-954e4ddb85a7,06,Tap,outlet,,26553676-97d1-4435-afd8-954e4ddb85a7,Southwest
Mechanical Issue,,Budo alaga,,,"Water Scheme, Source within 100m",1343293719434.jpg,No,8.70617944 4.16401368 392.3999938964844 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343293719434.jpg,water,Oyo,oyo_olorunsogo,85d12b2b-e111-4607-b2f0-b43ff3741f85,Aboke,Tap,outlet,,85d12b2b-e111-4607-b2f0-b43ff3741f85,Southwest
Functional,,Ile oloro 2,,,Stand Alone Water Point,1343516688124.jpg,Yes,8.74988566 4.13643985 402.29998779296875 5.0,False,Olorunsogo,594,594,594.0,Manual,No,1343516688124.jpg,water,Oyo,oyo_olorunsogo,621b81f9-b5e0-4d4a-a805-63921eb1c34e,2,Unimproved Well,water_source,unprotected_dug_well,621b81f9-b5e0-4d4a-a805-63921eb1c34e,Southwest
Mechanical Issue,,Oke-Ibukun,,,"Water Scheme, Source within 100m",1343297933691.jpg,No,8.75630583 4.12590124 424.79998779296875 5.0,True,Olorunsogo,594,594,594.0,Tap (unknown lift),No,1343297933691.jpg,water,Oyo,oyo_olorunsogo,24d746b9-c45e-4dd0-ae01-51ef45817412,06,Tap,outlet,,24d746b9-c45e-4dd0-ae01-51ef45817412,Southwest
Functional,,Umca mission,,,Stand Alone Water Point,1343349691521.jpg,Yes,8.74739728 4.13364832 389.70001220703125 5.0,False,Olorunsogo,594,594,594.0,Manual,No,1343349691521.jpg,water,Oyo,oyo_olorunsogo,9cf5515d-6439-4a93-bfe6-320661a9c952,2,Unimproved Well,water_source,protected_dug_well,9cf5515d-6439-4a93-bfe6-320661a9c952,Southwest
Functional,,ILEOLOKO,,,Stand Alone Water Point,1343304457425.jpg,Yes,8.74710634 4.13362037 398.79998779296875 5.0,False,Olorunsogo,594,594,594.0,,No,1343304457425.jpg,water,Oyo,oyo_olorunsogo,764757da-ac6c-45e5-9772-8d3a1bcde553,4,Unimproved Well,water_source,protected_dug_well,764757da-ac6c-45e5-9772-8d3a1bcde553,Southwest
